曲柄转角(度),时间(s),工作阻力(N),O1水平反力(N),O1垂直反力(N),O1反力大小(N),O2水平反力(N),O2垂直反力(N),O2反力大小(N),平衡力矩(N·m)
89.24791086350974,0.30356432266499916,8799.241876765287,-5279.544782475184,-446.35499999999996,5298.379553805667,-3519.6965216501226,-191.295,3524.891116267419,721.4756731451399
90.25069637883009,0.3069751577511227,8799.915763009903,-5279.94772543017,-446.35499999999996,5298.781064480795,-3519.9651502867805,-191.295,3525.1593490590517,721.5861851997447
91.2534818941504,0.31038599283724627,8797.894155881395,-5278.733369681869,-446.35499999999996,5297.571025877604,-3519.1555797879128,-191.295,3524.3509717077554,721.2546828867664
92.25626740947074,0.3137968279233699,8793.177674616216,-5275.902087403646,-446.35499999999996,5294.749816742539,-3517.2680582690978,-191.295,3522.4662341525814,720.481572343666
93.25905292479108,0.3172076630094935,8785.76776391501,-5271.454746042203,-446.35499999999996,5290.318319874133,-3514.3031640281356,-191.295,3519.5057189502,719.2678007407669
94.2618384401114,0.32061849809561704,8775.666693500094,-5265.392708052273,-446.35499999999996,5284.2779219146905,-3510.261805368182,-191.295,3515.4703411139294,717.6148551208368
95.26462395543174,0.32402933318174065,8762.87755742022,-5257.717830479699,-446.35499999999996,5276.630513023359,-3505.1452203197996,-191.295,3510.361347860892,715.5247605772494
96.26740947075209,0.32744016826786426,8747.404273102833,-5248.432464393,-446.35499999999996,5267.378486431308,-3498.9549762620004,-191.295,3504.1803182675426,713.000077772956
97.27019498607241,0.3308510033539878,8729.25158015414,-5237.539454163612,-446.35499999999996,5256.524737880101,-3491.692969442409,-191.295,3496.9291628339492,710.0438998033104
98.27298050139275,0.3342618384401114,8708.425038907313,-5225.042136595017,-446.35499999999996,5244.07266494453,-3483.3614243966786,-191.295,3488.610122957258,706.6598484065867
99.27576601671309,0.337672673526235,8684.931028719315,-5210.944339901026,-446.35499999999996,5230.026166241574,-3473.962893267351,-191.295,3479.225770314922,702.8520695268348
100.27855153203342,0.3410835086123586,8658.776746016852,-5195.250382533545,-446.35499999999996,5214.389640527446,-3463.500255022364,-191.295,3468.77900615836,698.6252282345114
101.28133704735376,0.3444943436984822,8629.97020209203,-5177.965071860157,-446.35499999999996,5197.16798568497,-3451.9767145734386,-191.295,3457.2730605178167,693.9845030111024
102.28412256267409,0.34790517878460575,8598.520220648434,-5159.093702691937,-446.35499999999996,5178.366597603978,-3439.395801794625,-191.295,3444.7114913193373,688.9355794047499
103.28690807799441,0.3513160138707293,8564.43643509834,-5138.642055661969,-446.35499999999996,5157.991368957772,-3425.7613704413125,-191.295,3431.098183414887,683.4846430646451
104.28969359331475,0.3547268489568529,8527.729285611924,-5116.61639545502,-446.35499999999996,5136.048687879051,-3411.077596970014,-191.295,3416.4373475267657,677.6383721627302
105.29247910863509,0.3581376840429765,8488.410015919335,-5093.023468888957,-446.35499999999996,5112.545436539289,-3395.348979259305,-191.295,3400.7335191076354,671.4039292119879
106.29526462395542,0.3615485191291001,8446.490669866647,-5067.870502848457,-446.35499999999996,5087.488989635896,-3378.580335232305,-191.295,3383.991557117635,664.7889522913449
107.29805013927576,0.3649593542152237,8401.98408772671,-5041.165202071658,-446.35499999999996,5060.887212792159,-3360.776801381106,-191.295,3366.2166427201946,657.801545687938
108.30083565459609,0.3683701893013473,8354.903902266076,-5012.915746790444,-446.35499999999996,5032.7484608754885,-3341.94383119363,-191.295,3347.4142778984137,650.450269968213
109.30362116991643,0.37178102438747085,8305.264534569138,-4983.130790225029,-446.35499999999996,5003.08157624016,-3322.087193483353,-191.295,3327.5902839939745,642.7441314900111
110.30640668523677,0.37519185947359446,8253.08118962084,-4951.819455933674,-446.35499999999996,4971.895886901521,-3301.21297062245,-191.295,3306.750800170902,634.6925713685016
111.30919220055709,0.37860269455971807,8198.369851649246,-4918.99133501829,-446.35499999999996,4939.201204649393,-3279.32755667886,-191.295,3284.9022818066205,626.3054539094733
112.31197771587743,0.3820135296458416,8141.147279229427,-4884.6564831868,-446.35499999999996,4905.007823109341,-3256.437655457867,-191.295,3262.0514988131213,617.5930545241575
113.31476323119776,0.3854243647319652,8081.431000150162,-4848.825417673153,-446.35499999999996,4869.326515761521,-3232.550278448769,-191.295,3238.205533891296,608.5660471403886
114.31754874651809,0.3888351998180888,8019.23930604501,-4811.509114015913,-446.35499999999996,4832.168533927929,-3207.6727426772754,-191.295,3213.3717807218873,599.2354911255245
115.32033426183843,0.39224603490421234,7954.591246789433,-4772.71900269641,-446.35499999999996,4793.545604740234,-3181.8126684642734,-191.295,3187.557942096855,589.6128177371504
116.32311977715878,0.395656869990336,7887.5066246656315,-4732.466965637462,-446.35499999999996,4753.469929101776,-3154.9779770916416,-191.295,3160.772027995418,579.7098161181622
117.32590529247909,0.39906770507645956,7818.005988296943,-4690.765332563728,-446.35499999999996,4711.954179659083,-3127.176888375819,-191.295,3133.0223536095095,569.5386188533912
118.32869080779942,0.4024785401625831,7746.110626353598,-4647.626877224769,-446.35499999999996,4669.011498800046,-3098.4179181498457,-191.295,3104.3175373239483,559.1116871054621
119.33147632311977,0.4058893752487067,7671.842561031815,-4603.064813481969,-446.35499999999996,4624.655496698191,-3068.7098756546466,-191.295,3074.66649865727,548.4417953480971
120.33426183844009,0.4093002103348303,7595.224541308217,-4557.092791260486,-446.35499999999996,4578.900249424886,-3038.0618608403242,-191.295,3044.0784561698756,537.5420157155718
